what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1301432778093
arch,sysinfo,,,"x86_64",1301432778093
ws,sysinfo,,,"win32",1301432778093
locale,sysinfo,,,"en_US",1301432778093
processors,sysinfo,,,"2",1301432778093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301432778093
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1301432778093
java.specification.name,sysinfo,,,"Java Platform API Specification",1301432778093
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301432778093
java.specification.version,sysinfo,,,"1.6",1301432778093
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301432778093
java.version,sysinfo,,,"1.6.0_21",1301432778093
java.vm.info,sysinfo,,,"mixed mode",1301432778093
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1301432778093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301432778093
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301432778093
java.vm.specification.version,sysinfo,,,"1.0",1301432778093
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301432778093
java.vm.version,sysinfo,,,"17.0-b17",1301432778093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301432779236
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1301432779315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301432782283
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301432783039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301432783207
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301432783443
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1301432783918
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1301432783963
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1301432783964
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1301432783964
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1301432783965
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1301432783968
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301432783970
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1301432783971
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1301432783972
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1301432783972
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1301432783996
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1301432783998
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1301432784001
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1301432784002
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1301432784007
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1301432784009
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1301432784009
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1301432784009
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1301432784010
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1301432784010
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1301432784010
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1301432784011
